duration,scroll_depth,key_count,switch_count,label
699,2,14,3,1
641,61,17,4,1
161,70,82,5,0
32,61,10,3,0
375,18,12,0,1
799,67,13,5,1
81,94,127,2,0
535,50,3,2,0
366,16,8,5,1
357,70,43,1,1
157,80,113,19,0
354,72,9,1,0
751,9,1,1,1
313,20,46,4,1
265,82,14,28,0
485,55,0,5,0
995,6,3,3,1
495,30,44,0,1
123,55,22,7,0
267,64,1,0,0
451,0,14,5,1
490,50,22,4,1
216,76,51,20,0
68,59,1,4,0
977,11,5,0,1
490,80,12,1,1
102,83,52,9,0
307,60,1,5,0
668,11,6,3,1
177,76,7,5,1
281,56,69,21,0
560,98,1,3,0
1161,16,4,3,1
282,46,35,5,1
186,58,5,28,0
131,56,9,1,0
1042,0,2,5,1
259,77,5,3,1
46,45,128,8,0
159,69,3,0,0
1049,2,4,2,1
785,20,18,1,1
233,41,99,17,0
175,52,5,5,0
119,6,11,0,1
759,62,13,5,1
194,36,123,25,0
593,84,9,2,0
479,1,6,1,1
603,29,39,5,1
244,52,148,9,0
459,93,5,4,0
64,20,3,5,1
504,62,40,1,1
166,66,112,26,0
367,93,4,2,0
643,9,10,4,1
330,24,8,5,1
52,51,40,29,0
45,81,7,2,0
651,17,13,1,1
717,36,5,1,1
115,67,49,19,0
488,67,2,5,0
1145,0,5,0,1
148,27,11,4,1
224,94,128,17,0
41,59,10,1,0
1173,13,13,0,1
114,39,37,3,1
125,37,13,17,0
425,80,8,4,0
973,9,15,5,1
712,50,19,1,1
165,42,140,22,0
40,57,10,2,0
121,10,2,1,1
304,35,10,0,1
220,29,87,28,0
39,69,10,0,0
1031,6,4,1,1
553,48,25,5,1
191,58,92,20,0
366,95,0,1,0
1003,11,8,4,1
792,12,27,3,1
203,53,28,20,0
587,92,6,3,0
1015,2,6,4,1
857,68,42,4,1
172,31,129,28,0
501,86,5,1,0
1000,20,9,0,1
589,35,18,2,1
171,76,25,13,0
486,51,3,4,0
1061,15,13,5,1
166,67,7,3,1
269,43,76,16,0
116,68,5,2,0
1037,7,12,0,1
151,29,1,0,1
283,77,22,8,0
289,54,5,2,0
982,0,13,5,1
730,17,31,1,1
117,95,143,6,0
73,84,8,4,0
533,4,8,4,1
592,49,8,1,1
162,68,148,21,0
276,84,5,4,0
335,11,12,0,1
391,41,16,5,1
169,70,8,23,0
453,88,3,1,0
970,16,9,5,1
787,69,36,0,1
274,23,85,18,0
392,68,5,3,0
1187,14,6,4,1
156,49,24,3,1
248,57,136,26,0
277,100,8,1,0
183,4,0,4,1
576,34,47,5,1
90,68,148,8,0
133,66,4,3,0
1188,13,3,3,1
493,10,34,4,1
235,64,61,23,0
276,52,3,2,0
73,7,9,2,1
80,55,29,5,1
272,52,48,6,0
302,62,2,5,0
1133,0,6,1,1
259,15,49,2,1
147,21,83,29,0
592,70,1,0,0
603,3,11,3,1
258,76,31,2,1
13,64,123,27,0
355,69,1,2,0
359,0,9,1,1
531,16,18,4,1
24,69,78,18,0
542,98,1,2,0
965,19,2,5,1
768,50,2,4,1
186,29,45,10,0
44,89,3,3,0
1189,3,1,5,1
684,77,48,4,1
94,80,34,23,0
73,65,4,5,0
973,10,6,4,1
475,25,14,4,1
242,51,123,28,0
174,71,6,4,0
932,6,10,0,1
513,69,46,4,1
157,80,56,21,0
427,78,10,2,0
714,4,12,4,1
807,66,35,0,1
127,46,49,20,0
119,56,0,2,0
267,14,10,4,1
411,13,46,5,1
165,53,56,28,0
581,67,7,5,0
607,18,2,4,1
857,21,33,5,1
233,89,106,17,0
58,89,9,0,0
252,4,11,4,1
699,62,20,4,1
148,90,35,30,0
225,67,2,2,0
306,0,2,3,1
206,35,4,4,1
127,34,37,23,0
182,97,5,0,0
815,20,6,0,1
680,29,23,2,1
82,23,17,8,0
546,56,6,2,0
522,10,5,3,1
553,17,25,1,1
142,96,75,6,0
293,94,10,0,0
1119,10,9,4,1
447,14,15,3,1
80,75,26,29,0
487,66,3,3,0
534,5,7,1,1
771,20,2,5,1
271,33,49,2,0
514,68,5,2,0
631,17,15,4,1
833,30,17,2,1
13,87,125,3,0
367,50,10,4,0
1051,20,3,4,1
686,52,33,4,1
212,64,48,6,0
555,94,10,2,0
1005,1,4,5,1
282,74,34,5,1
240,70,24,10,0
97,53,7,5,0
1044,20,2,5,1
806,56,41,1,1
110,36,92,10,0
230,82,0,2,0
486,8,2,3,1
412,63,14,3,1
198,88,127,22,0
316,90,8,5,0
681,19,7,5,1
190,33,49,4,1
179,67,88,26,0
470,79,9,3,0
655,10,0,0,1
194,42,22,0,1
222,64,58,29,0
381,63,4,2,0
182,19,9,0,1
833,45,27,1,1
295,33,109,19,0
246,63,9,4,0
259,3,2,4,1
884,63,0,1,1
272,38,39,4,0
105,73,1,4,0
141,13,7,0,1
535,66,9,4,1
149,99,22,10,0
389,74,1,3,0
1064,0,5,2,1
80,38,20,2,1
88,95,53,18,0
336,65,4,2,0
388,9,5,4,1
411,66,33,0,1
251,52,98,14,0
559,80,2,2,0
808,15,14,2,1
592,26,48,1,1
155,86,133,17,0
408,70,1,2,0
839,10,11,1,1
287,58,46,5,1
297,53,41,5,0
559,69,6,3,0
186,20,5,0,1
84,60,2,3,1
83,43,84,22,0
544,61,10,0,0
856,12,9,2,1
325,37,24,5,1
122,51,51,29,0
129,75,4,2,0
388,0,6,1,1
675,30,12,2,1
141,39,145,28,0
281,50,2,0,0
94,7,5,0,1
486,31,36,4,1
270,96,97,24,0
245,100,1,1,0
768,1,4,3,1
569,20,11,1,1
36,49,13,30,0
472,70,4,2,0
1006,9,10,4,1
239,70,11,3,1
166,57,127,4,0
134,54,1,1,0
1035,15,15,1,1
376,18,47,1,1
288,68,92,19,0
218,62,0,2,0
1129,14,14,3,1
459,68,23,2,1
247,85,15,26,0
590,68,2,4,0
542,9,4,3,1
90,61,10,0,1
218,49,68,17,0
295,55,9,4,0
791,7,12,1,1
565,47,1,1,1
244,63,33,5,0
418,100,5,0,0
966,20,4,0,1
379,26,0,3,1
188,66,66,5,0
494,94,2,5,0
1194,4,11,5,1
279,29,19,2,1
185,67,58,27,0
354,78,8,3,0
493,15,3,0,1
650,50,41,2,1
253,81,33,5,0
91,77,7,1,0
1165,18,12,4,1
605,42,42,3,1
240,23,97,18,0
183,82,2,5,0
1179,2,13,0,1
452,66,44,4,1
84,95,123,27,0
217,88,7,2,0
608,11,11,5,1
139,63,47,3,1
63,73,9,14,0
575,88,0,2,0
149,20,6,1,1
452,74,37,2,1
158,80,109,27,0
220,83,2,0,0
88,10,7,4,1
399,44,1,0,1
171,93,76,2,0
207,60,10,5,0
929,15,6,3,1
326,73,33,2,1
277,52,15,12,0
588,76,3,5,0
273,4,3,4,1
770,70,29,5,1
274,59,56,14,0
527,83,6,5,0
926,16,9,2,1
382,53,26,0,1
196,68,147,12,0
173,93,1,1,0
1196,17,10,2,1
341,26,47,2,1
59,28,90,26,0
267,87,6,3,0
916,10,6,5,1
389,24,11,4,1
291,57,142,19,0
286,86,4,4,0
626,11,0,2,1
491,64,37,1,1
234,70,46,11,0
226,88,10,2,0
1090,7,4,0,1
828,11,44,3,1
137,24,7,2,0
212,69,2,0,0
943,15,2,3,1
134,68,49,3,1
83,89,145,4,0
469,90,3,4,0
399,14,10,2,1
422,49,47,4,1
146,86,51,2,0
599,59,2,3,0
1128,9,7,1,1
454,33,6,0,1
225,41,132,15,0
570,57,8,5,0
1072,17,9,3,1
659,35,48,3,1
76,95,106,15,0
269,76,5,5,0
113,18,14,4,1
730,12,16,1,1
285,61,150,4,0
137,74,8,3,0
301,5,1,4,1
622,28,16,5,1
230,36,78,14,0
424,81,6,1,0
513,2,5,4,1
250,68,35,4,1
137,95,134,8,0
164,71,1,3,0
980,4,3,5,1
253,78,40,5,1
142,99,141,2,0
125,97,8,1,0
669,9,8,3,1
731,20,31,5,1
128,24,9,6,0
451,95,7,2,0
853,11,12,0,1
800,73,10,4,1
223,21,7,27,0
98,72,0,2,0
449,11,15,4,1
857,59,4,4,1
267,66,92,24,0
348,92,8,0,0
372,5,15,4,1
880,52,40,5,1
222,87,147,28,0
467,82,9,0,0
751,11,7,3,1
399,41,13,4,1
180,68,106,3,0
136,71,1,1,0
312,19,11,5,1
237,79,30,3,1
102,34,120,16,0
406,66,4,3,0
374,9,2,2,1
239,71,41,3,1
181,68,47,24,0
543,74,6,2,0
691,8,1,0,1
380,79,6,4,1
208,46,60,29,0
528,69,6,5,0
863,10,4,5,1
745,42,10,4,1
286,99,112,12,0
44,92,8,2,0
285,11,10,3,1
474,69,14,3,1
199,62,118,6,0
483,53,10,0,0
1096,4,11,3,1
799,45,15,2,1
263,55,118,12,0
511,68,10,1,0
856,18,7,0,1
497,17,23,4,1
62,77,77,10,0
490,61,6,1,0
591,15,4,3,1
390,56,43,1,1
37,89,11,4,0
388,68,2,1,0
1184,7,15,5,1
306,48,36,1,1
77,35,103,5,0
135,79,6,3,0
351,3,3,2,1
350,43,5,3,1
148,46,59,9,0
163,72,9,1,0
750,15,15,4,1
515,41,0,3,1
84,74,39,5,0
208,54,0,3,0
288,11,15,2,1
270,58,12,2,1
26,82,53,5,0
400,89,8,5,0
862,13,4,2,1
805,27,9,2,1
147,81,116,25,0
61,86,0,4,0
1174,19,4,5,1
406,45,42,0,1
123,76,83,26,0
331,94,0,1,0
1062,18,12,2,1
642,64,16,0,1
92,57,52,15,0
427,78,0,5,0
485,7,15,4,1
156,38,36,2,1
252,57,104,19,0
558,69,7,4,0
826,15,5,4,1
518,13,33,5,1
246,64,70,27,0
257,81,4,4,0
587,10,1,5,1
132,31,40,5,1
80,67,5,3,0
273,53,6,2,0
1008,2,7,4,1
573,70,45,1,1
96,69,145,4,0
546,55,10,5,0
298,4,10,5,1
323,55,38,3,1
102,79,67,14,0
163,72,1,1,0
581,17,1,0,1
117,21,35,3,1
46,96,150,16,0
383,79,3,1,0
1137,9,13,5,1
229,70,19,0,1
41,38,33,10,0
586,57,1,4,0
353,20,6,5,1
850,15,8,4,1
167,96,56,27,0
386,65,10,2,0
810,16,3,0,1
856,17,36,2,1
241,92,82,14,0
532,99,6,1,0
645,15,0,1,1
472,73,20,4,1
55,82,94,9,0
476,95,10,5,0
678,18,5,4,1
309,37,39,5,1
114,71,46,4,0
558,94,7,3,0
795,18,6,4,1
554,39,1,3,1
101,86,42,4,0
80,54,9,5,0
564,2,3,5,1
737,17,42,5,1
