duration,scroll_depth,key_count,switch_count,label
221,18,11,3,1
811,81,20,0,1
255,85,47,26,0
411,27,90,9,1
266,77,2,2,0
547,13,5,0,1
313,13,48,2,1
156,33,130,7,0
1393,56,38,12,1
153,66,0,1,0
418,6,8,2,1
563,48,12,2,1
208,40,146,5,0
1606,73,36,10,1
155,53,8,3,0
425,12,1,3,1
859,97,39,0,1
207,25,140,24,0
331,72,39,12,1
351,55,10,2,0
700,30,4,3,1
618,94,16,4,1
244,70,15,9,0
615,80,51,8,1
125,99,3,5,0
444,40,8,1,1
186,90,33,1,1
119,21,144,28,0
1505,72,65,9,1
521,93,1,3,0
498,3,1,0,1
460,90,11,4,1
25,25,135,13,0
647,30,58,9,1
534,94,8,2,0
305,2,3,3,1
367,100,9,8,1
34,23,98,5,0
349,64,72,8,1
590,73,5,2,0
1049,35,10,1,1
528,48,24,4,1
289,99,144,6,0
484,56,60,11,1
398,95,5,0,0
1125,14,9,3,1
301,57,15,8,1
26,96,143,24,0
1324,32,82,9,1
381,58,1,1,0
331,3,2,2,1
263,29,15,6,1
207,80,66,9,0
1125,67,64,5,1
502,98,4,5,0
206,27,14,2,1
538,59,50,8,1
277,94,114,9,0
335,24,85,8,1
477,55,8,0,0
187,23,13,1,1
772,79,32,6,1
218,79,75,14,0
1735,27,75,14,1
245,63,6,0,0
379,9,4,0,1
301,74,23,8,1
285,76,35,17,0
1102,45,65,10,1
515,66,2,2,0
368,19,14,0,1
863,44,16,7,1
170,77,49,28,0
567,30,37,9,1
316,51,0,5,0
1157,9,9,0,1
722,27,41,4,1
113,98,82,29,0
1357,69,20,13,1
381,69,10,4,0
777,8,9,1,1
359,44,18,1,1
181,65,58,19,0
1708,31,67,11,1
163,61,1,1,0
607,21,6,1,1
77,27,14,6,1
271,49,108,6,0
1585,32,55,10,1
573,81,4,3,0
622,22,2,0,1
106,16,8,1,1
174,22,36,4,0
817,71,46,12,1
217,97,7,2,0
855,40,15,3,1
405,10,37,5,1
156,77,138,7,0
867,80,87,11,1
97,56,5,5,0
1143,29,2,3,1
353,45,10,0,1
212,51,40,8,0
1175,47,34,8,1
340,99,10,1,0
121,12,7,3,1
159,69,16,2,1
153,78,32,6,0
1604,89,22,13,1
487,54,8,2,0
795,35,12,0,1
217,40,27,8,1
31,93,67,9,0
847,71,26,8,1
246,57,3,1,0
464,11,1,3,1
485,77,12,3,1
126,40,97,17,0
366,75,32,12,1
289,80,5,0,0
498,6,1,2,1
679,95,46,5,1
48,36,75,7,0
1190,49,79,15,1
275,100,7,4,0
376,33,5,0,1
166,35,4,8,1
136,63,95,15,0
1078,43,46,5,1
425,94,6,0,0
1050,12,7,2,1
780,23,32,8,1
33,45,40,18,0
1314,59,36,10,1
288,80,7,0,0
982,14,5,1,1
513,88,8,2,1
122,90,22,14,0
1015,63,26,8,1
90,99,6,0,0
507,2,2,3,1
191,47,7,8,1
157,90,104,7,0
1306,70,96,7,1
559,91,5,4,0
941,22,15,2,1
607,38,27,8,1
69,73,58,3,0
1641,83,43,14,1
184,91,0,0,0
988,40,5,3,1
194,42,47,3,1
36,88,44,29,0
552,23,80,6,1
523,67,0,2,0
671,0,15,2,1
180,18,10,5,1
135,55,42,3,0
1239,73,39,10,1
540,86,9,2,0
922,4,15,0,1
600,11,37,3,1
12,28,97,9,0
803,68,41,11,1
152,57,10,4,0
640,2,1,0,1
365,67,7,8,1
300,39,17,7,0
1437,65,44,7,1
481,94,2,3,0
288,15,12,1,1
708,80,17,4,1
218,42,42,27,0
854,69,28,11,1
488,89,0,0,0
611,18,11,3,1
177,57,2,8,1
254,78,77,3,0
397,43,41,7,1
460,68,1,1,0
79,8,12,2,1
578,96,6,6,1
295,43,70,8,0
420,58,97,5,1
82,54,10,2,0
298,4,13,0,1
269,39,13,5,1
231,50,101,21,0
1482,54,39,13,1
82,92,5,0,0
547,6,3,1,1
634,75,23,5,1
271,44,6,19,0
446,68,31,9,1
396,85,6,4,0
334,26,10,1,1
676,70,41,1,1
192,93,133,24,0
1618,53,70,8,1
332,70,6,0,0
585,18,1,1,1
528,88,47,4,1
52,86,127,27,0
1598,79,57,6,1
190,60,4,1,0
448,23,13,1,1
391,40,18,3,1
164,21,119,4,0
1737,45,62,7,1
280,64,1,0,0
623,7,0,3,1
594,34,15,4,1
7,72,127,3,0
1083,77,34,7,1
285,64,2,5,0
784,33,5,0,1
532,12,14,6,1
111,70,95,4,0
1220,26,55,10,1
394,98,5,1,0
782,9,14,2,1
550,49,22,2,1
265,49,126,5,0
903,49,51,15,1
237,50,2,0,0
686,27,6,2,1
561,32,17,5,1
162,71,47,17,0
494,72,25,15,1
418,80,1,0,0
1043,34,15,2,1
211,44,4,5,1
176,30,104,4,0
472,82,96,6,1
221,54,6,0,0
189,27,6,0,1
399,97,46,4,1
188,75,112,14,0
568,75,83,6,1
106,100,4,2,0
227,10,13,2,1
99,20,21,4,1
185,51,48,2,0
1754,35,85,6,1
77,92,10,2,0
177,32,6,3,1
662,35,21,3,1
141,50,30,25,0
1019,74,30,10,1
97,91,5,2,0
1159,33,5,1,1
289,95,28,2,1
240,90,130,13,0
1635,42,25,13,1
289,57,7,4,0
266,25,8,3,1
156,51,31,2,1
47,94,30,4,0
1065,79,99,8,1
240,79,9,4,0
669,28,6,1,1
137,33,37,8,1
209,77,12,20,0
1015,62,68,6,1
537,90,3,5,0
546,37,12,0,1
486,30,25,6,1
293,31,132,22,0
1153,54,21,9,1
142,83,5,4,0
950,35,10,0,1
671,19,49,6,1
170,53,127,15,0
470,63,33,10,1
265,68,7,4,0
703,5,2,0,1
146,29,26,0,1
246,42,127,3,0
511,76,26,10,1
82,62,6,5,0
111,20,15,0,1
652,61,33,3,1
231,37,137,25,0
662,26,50,9,1
152,69,0,3,0
108,20,14,0,1
743,54,27,5,1
18,69,7,28,0
540,40,68,7,1
532,83,0,0,0
1027,5,6,2,1
702,75,37,5,1
221,41,32,10,0
1060,84,97,8,1
399,68,0,2,0
1119,37,9,2,1
471,47,27,4,1
105,66,83,23,0
1197,21,93,11,1
139,78,1,2,0
652,29,15,2,1
411,100,1,0,1
19,39,57,15,0
599,52,76,15,1
500,97,1,5,0
273,3,4,3,1
139,74,1,0,1
170,70,138,24,0
1442,82,79,12,1
243,86,9,1,0
1136,8,7,2,1
317,94,23,4,1
250,82,52,7,0
1044,79,64,10,1
297,56,8,4,0
556,39,13,1,1
537,49,40,1,1
172,76,68,26,0
1438,36,42,5,1
100,73,9,0,0
560,6,13,2,1
130,71,44,7,1
296,37,34,8,0
1395,20,32,11,1
505,59,0,1,0
1001,31,7,0,1
262,70,38,8,1
234,85,142,25,0
1716,34,62,14,1
433,59,2,5,0
458,20,2,3,1
242,46,34,5,1
134,64,20,22,0
399,71,89,10,1
248,64,3,3,0
937,40,6,0,1
738,77,31,4,1
117,34,29,13,0
1216,74,63,11,1
291,98,4,2,0
394,18,7,2,1
702,75,21,8,1
119,91,72,2,0
1376,66,41,6,1
586,60,1,2,0
1021,40,14,3,1
208,88,35,8,1
152,50,145,22,0
1653,79,40,11,1
134,63,6,4,0
1052,16,10,2,1
852,48,34,4,1
206,44,36,17,0
1053,49,100,9,1
520,57,9,5,0
1089,10,8,0,1
782,97,3,8,1
174,96,56,29,0
1072,90,59,5,1
566,81,9,5,0
401,35,14,2,1
886,40,49,5,1
282,30,144,2,0
613,67,99,12,1
162,76,2,2,0
83,37,8,1,1
581,47,26,0,1
144,72,54,26,0
1477,59,99,8,1
89,56,2,2,0
877,8,3,2,1
73,89,13,6,1
242,87,8,4,0
1696,60,56,7,1
82,80,1,5,0
965,16,7,1,1
697,20,43,8,1
27,38,109,18,0
1339,79,35,5,1
542,75,5,0,0
766,27,15,0,1
142,86,43,3,1
170,89,91,26,0
1716,53,82,13,1
516,56,1,3,0
351,3,12,2,1
877,41,48,8,1
81,58,81,5,0
1159,86,66,6,1
447,60,3,1,0
124,39,5,2,1
817,16,39,2,1
293,58,52,29,0
1327,33,72,5,1
117,88,6,2,0
622,8,6,1,1
497,89,46,4,1
84,53,71,9,0
1478,48,39,11,1
587,51,10,5,0
665,25,13,0,1
599,89,10,6,1
275,82,28,24,0
1579,56,27,13,1
267,72,9,2,0
509,4,0,1,1
181,65,36,6,1
114,68,135,8,0
420,64,62,11,1
227,64,5,2,0
550,7,15,3,1
234,67,5,8,1
291,81,81,16,0
309,20,58,12,1
356,82,0,1,0
193,4,15,2,1
147,49,18,3,1
248,29,36,11,0
1340,80,66,7,1
433,84,1,0,0
781,20,1,3,1
459,88,26,6,1
171,40,39,5,0
519,20,27,7,1
522,74,3,2,0
977,3,5,2,1
710,40,18,1,1
224,83,66,29,0
646,63,90,12,1
174,93,5,2,0
418,37,6,2,1
105,27,23,1,1
121,63,103,21,0
1143,27,61,10,1
414,89,8,2,0
1112,9,1,3,1
591,36,8,7,1
38,57,149,29,0
458,65,44,13,1
579,84,4,3,0
487,9,12,0,1
119,29,23,4,1
237,29,62,25,0
977,35,59,8,1
548,57,8,0,0
1072,5,10,2,1
379,31,10,8,1
14,69,20,21,0
708,35,68,6,1
414,71,6,3,0
1100,3,10,2,1
387,19,2,7,1
15,67,45,10,0
443,39,50,10,1
149,62,5,2,0
927,22,3,3,1
690,59,10,4,1
123,66,29,30,0
991,84,71,14,1
102,66,8,1,0
973,23,11,0,1
628,43,35,2,1
278,77,75,11,0
594,59,98,5,1
99,67,4,5,0
382,16,13,2,1
567,49,12,8,1
115,91,58,30,0
1457,39,79,14,1
353,55,6,1,0
777,4,13,1,1
107,30,25,0,1
103,42,112,14,0
794,35,30,14,1
449,85,3,5,0
656,31,10,0,1
200,27,27,2,1
96,40,45,19,0
746,21,92,14,1
82,84,5,1,0
948,27,0,2,1
247,13,36,2,1
237,39,55,29,0
744,90,97,10,1
408,92,5,2,0
618,2,9,2,1
376,85,44,7,1
40,51,113,11,0
739,40,90,7,1
398,62,7,2,0
144,8,7,2,1
718,32,38,5,1
261,87,56,4,0
1451,33,71,7,1
511,56,0,0,0
1078,33,1,0,1
651,42,5,5,1
12,51,100,26,0
451,31,90,14,1
199,57,0,0,0
674,10,9,2,1
489,55,22,6,1
209,21,5,11,0
1009,37,95,5,1
481,95,7,1,0
559,2,7,0,1
146,85,40,6,1
226,86,148,14,0
1291,38,41,15,1
409,58,10,4,0
991,16,12,0,1
618,50,45,1,1
258,93,19,26,0
1394,90,26,10,1
149,84,8,0,0
730,33,12,3,1
304,62,35,0,1
178,23,29,2,0
1289,22,74,8,1
265,87,7,3,0
161,35,11,0,1
881,18,17,7,1
163,86,146,7,0
807,24,65,5,1
439,74,8,5,0
723,14,15,2,1
212,62,16,1,1
211,65,96,21,0
418,41,72,9,1
499,64,9,2,0
1001,23,3,1,1
667,11,42,1,1
275,73,17,19,0
1160,77,26,7,1
70,97,8,0,0
393,32,12,2,1
235,80,44,5,1
273,48,117,8,0
1590,41,39,14,1
346,61,9,5,0
439,1,15,1,1
214,57,34,4,1
127,37,108,15,0
723,55,62,5,1
138,57,1,1,0
963,32,3,2,1
733,35,21,7,1
188,37,28,23,0
574,67,71,5,1
474,72,7,5,0
352,31,4,2,1
887,29,10,7,1
165,33,116,29,0
406,43,90,10,1
144,98,4,4,0
643,40,13,3,1
380,48,47,0,1
270,24,40,14,0
1677,74,99,14,1
524,66,2,4,0
